INDEX,product_id,warehouse_id,Source_index,Sink_index,_merge
637,254,5,Missing,637,Sink
638,255,5,Missing,638,Sink
639,256,5,Missing,639,Sink
640,257,5,Missing,640,Sink
641,258,5,Missing,641,Sink
642,259,5,Missing,642,Sink
643,260,5,Missing,643,Sink
644,261,5,Missing,644,Sink
645,262,5,Missing,645,Sink
646,263,5,Missing,646,Sink
647,264,5,Missing,647,Sink
648,265,5,Missing,648,Sink
649,269,5,Missing,649,Sink
650,270,5,Missing,650,Sink
651,273,5,Missing,651,Sink
652,279,5,Missing,652,Sink
653,280,5,Missing,653,Sink
654,281,5,Missing,654,Sink
655,284,5,Missing,655,Sink
656,285,5,Missing,656,Sink
657,286,5,Missing,657,Sink
658,2,6,Missing,658,Sink
659,3,6,Missing,659,Sink
660,4,6,Missing,660,Sink
661,5,6,Missing,661,Sink
662,6,6,Missing,662,Sink
663,7,6,Missing,663,Sink
664,8,6,Missing,664,Sink
665,9,6,Missing,665,Sink
666,11,6,Missing,666,Sink
667,12,6,Missing,667,Sink
668,13,6,Missing,668,Sink
669,14,6,Missing,669,Sink
670,15,6,Missing,670,Sink
671,17,6,Missing,671,Sink
672,18,6,Missing,672,Sink
673,19,6,Missing,673,Sink
674,20,6,Missing,674,Sink
675,21,6,Missing,675,Sink
676,22,6,Missing,676,Sink
677,23,6,Missing,677,Sink
678,24,6,Missing,678,Sink
679,25,6,Missing,679,Sink
680,26,6,Missing,680,Sink
681,27,6,Missing,681,Sink
682,29,6,Missing,682,Sink
683,30,6,Missing,683,Sink
684,31,6,Missing,684,Sink
685,32,6,Missing,685,Sink
686,33,6,Missing,686,Sink

